Modelos,Metricas,Correlation
mixtral7b_05,BERTScore_F1,0.2634575642269639
qwen72b_07,BERTScore_F1,0.19671498128946638
mixtral22b_05,BERTScore_F1,0.18266391119736164
mixtral7b_03,BERTScore_F1,0.15556541887687392
qwen72b_05,BERTScore_F1,0.15456177101315216
qwen72b_03,BERTScore_F1,0.12344868723777738
gpt4o_03,BERTScore_F1,0.07728088550657608
llama8b_05,BERTScore_F1,0.07376811798354989
gpt4o_05,BERTScore_F1,0.07326629405168901
llama405b_07,BERTScore_F1,0.06423346327819311
mixtral7b_07,BERTScore_F1,0.06423346327819311
llama405b_03,BERTScore_F1,0.0552006325046972
llama405b_05,BERTScore_F1,0.040647738480731575
gemma27b_07,BERTScore_F1,0.029607611979792135
gemma27b_05,BERTScore_F1,0.024589372661183297
mixtral22b_07,BERTScore_F1,0.011541950432800324
sabia_05,BERTScore_F1,0.005018239318608836
llama8b_07,BERTScore_F1,-0.001505471795582651
mixtral22b_03,BERTScore_F1,-0.011541950432800324
sabia_03,BERTScore_F1,-0.014552894023965627
gemma27b_03,BERTScore_F1,-0.024589372661183297
gemma9b_05,BERTScore_F1,-0.03261855557095744
command_r_plus_05,BERTScore_F1,-0.040647738480731575
gpt4o_07,BERTScore_F1,-0.04365868207189688
sabia_07,BERTScore_F1,-0.044662329935618646
command_r_plus_08_2024_temp07,BERTScore_F1,-0.04666962566306218
gemma9b_03,BERTScore_F1,-0.08581189234821111
phi4_03,BERTScore_F1,-0.08952793531764329
phi4_07,BERTScore_F1,-0.0940324855223046
phi3_07,BERTScore_F1,-0.09484472312170701
phi4_05,BERTScore_F1,-0.09910010450254857
command_r_plus_03,BERTScore_F1,-0.09986296244031585
phi-4-temp07,BERTScore_F1,-0.10540925533894596
gemma9b_07,BERTScore_F1,-0.10588484962264645
phi3_03,BERTScore_F1,-0.12395051116963826
phi3_05,BERTScore_F1,-0.13097604621569062
llama8b_03,BERTScore_F1,-0.14904170776268244
qwen7b_07,BERTScore_F1,-0.23083900865600648
qwen7b_05,BERTScore_F1,-0.30811989416258256
phi-4-temp03,BERTScore_F1,-0.31622776601683794
phi-4-temp05,BERTScore_F1,-0.31622776601683794
qwen7b_03,BERTScore_F1,-0.35428769589378384
mixtral7b_05,BERTScore_Precision,0.2699812753411554
qwen72b_07,BERTScore_Precision,0.2519156137941636
mixtral22b_05,BERTScore_Precision,0.20624963599482318
mixtral7b_03,BERTScore_Precision,0.2057478120629623
qwen72b_05,BERTScore_Precision,0.2057478120629623
