Modelos,Metricas,Correlation
mixtral7b_05,BERTScore_F1,0.38388260744613434
mixtral22b_05,BERTScore_F1,0.31446668612484147
qwen72b_07,BERTScore_F1,0.28533258650015925
qwen72b_05,BERTScore_F1,0.2600850214831199
mixtral7b_03,BERTScore_F1,0.24210106317146415
qwen72b_03,BERTScore_F1,0.22281752229949325
llama8b_05,BERTScore_F1,0.1909787725994033
gpt4o_03,BERTScore_F1,0.13520419952251672
mixtral7b_07,BERTScore_F1,0.12417958682420477
gpt4o_05,BERTScore_F1,0.11742139286551338
llama405b_07,BERTScore_F1,0.0953434269901927
mixtral22b_07,BERTScore_F1,0.08227384577480866
llama405b_03,BERTScore_F1,0.07254660901492278
llama405b_05,BERTScore_F1,0.06307930110115294
sabia_05,BERTScore_F1,0.045005537650407226
gemma27b_05,BERTScore_F1,0.04275575471840403
gemma27b_07,BERTScore_F1,0.0310297655638141
gemma9b_05,BERTScore_F1,0.02406033505736655
sabia_03,BERTScore_F1,0.016480418117198175
mixtral22b_03,BERTScore_F1,0.015823307235567772
llama8b_07,BERTScore_F1,0.006222088444087834
gpt4o_07,BERTScore_F1,-0.002940884763745404
sabia_07,BERTScore_F1,-0.01460505538858181
command_r_plus_05,BERTScore_F1,-0.02269493054110247
gemma27b_03,BERTScore_F1,-0.025940074629827347
command_r_plus_08_2024_temp07,BERTScore_F1,-0.028206626089264036
gemma9b_03,BERTScore_F1,-0.043007195345802156
phi4_03,BERTScore_F1,-0.07710106432196635
gemma9b_07,BERTScore_F1,-0.08115219543785868
phi3_07,BERTScore_F1,-0.08200715140020956
phi4_05,BERTScore_F1,-0.10282840814676796
phi4_07,BERTScore_F1,-0.10283495352133792
command_r_plus_03,BERTScore_F1,-0.1339751707763944
phi3_05,BERTScore_F1,-0.15166798392852168
llama8b_03,BERTScore_F1,-0.1600145768667078
phi3_03,BERTScore_F1,-0.16082797838562052
qwen7b_07,BERTScore_F1,-0.25221191451926506
qwen7b_05,BERTScore_F1,-0.4317262398110934
qwen7b_03,BERTScore_F1,-0.44919417257551414
phi-4-temp05,BERTScore_F1,-0.49972065297297896
phi-4-temp07,BERTScore_F1,-0.6080579057640942
phi-4-temp03,BERTScore_F1,-0.6489570262236808
mixtral7b_05,BERTScore_Precision,0.41031834498946346
qwen72b_07,BERTScore_Precision,0.35600946186411503
mixtral22b_05,BERTScore_Precision,0.3311943647586576
