Modelos,Metricas,Correlation
mixtral7b_05,BERTScore_F1,0.3948065066754744
qwen72b_07,BERTScore_F1,0.27770574250127733
mixtral22b_05,BERTScore_F1,0.2611487828757194
mixtral7b_03,BERTScore_F1,0.226190627445526
qwen72b_05,BERTScore_F1,0.22178586692853272
qwen72b_03,BERTScore_F1,0.17381102668083206
llama8b_05,BERTScore_F1,0.12365438916770484
gpt4o_03,BERTScore_F1,0.11873917042257402
gpt4o_05,BERTScore_F1,0.11232550978194268
llama405b_07,BERTScore_F1,0.09106739453918258
mixtral7b_07,BERTScore_F1,0.09040050556371257
llama405b_03,BERTScore_F1,0.07907162617795041
llama405b_05,BERTScore_F1,0.054092105788123096
gemma27b_07,BERTScore_F1,0.04526611835968049
gemma27b_05,BERTScore_F1,0.04094368981496745
sabia_05,BERTScore_F1,0.018104800704426587
mixtral22b_07,BERTScore_F1,0.015420778408090497
llama8b_07,BERTScore_F1,-0.014992652152233206
sabia_03,BERTScore_F1,-0.01780017240698967
gemma27b_03,BERTScore_F1,-0.028058736153108603
mixtral22b_03,BERTScore_F1,-0.029458379681872822
gemma9b_05,BERTScore_F1,-0.052437233145290106
command_r_plus_05,BERTScore_F1,-0.05418267095763137
gpt4o_07,BERTScore_F1,-0.061411418123837165
sabia_07,BERTScore_F1,-0.06983397888810657
command_r_plus_08_2024_temp07,BERTScore_F1,-0.07643700306498247
gemma9b_03,BERTScore_F1,-0.13414348243620847
phi4_03,BERTScore_F1,-0.13450421294546372
phi4_05,BERTScore_F1,-0.14774743402823534
phi4_07,BERTScore_F1,-0.14863683116368348
phi3_07,BERTScore_F1,-0.15560742760966917
command_r_plus_03,BERTScore_F1,-0.16857471324380827
gemma9b_07,BERTScore_F1,-0.17707960598035793
phi3_05,BERTScore_F1,-0.20258605099277882
phi3_03,BERTScore_F1,-0.20926317394470695
llama8b_03,BERTScore_F1,-0.22978853463417284
phi-4-temp07,BERTScore_F1,-0.30779350562554625
qwen7b_07,BERTScore_F1,-0.3352640243223989
phi-4-temp03,BERTScore_F1,-0.41039134083406165
phi-4-temp05,BERTScore_F1,-0.41039134083406165
qwen7b_05,BERTScore_F1,-0.4538138312087283
qwen7b_03,BERTScore_F1,-0.5048596540224822
mixtral7b_05,BERTScore_Precision,0.4166903449075644
qwen72b_07,BERTScore_Precision,0.36766165541467655
mixtral7b_03,BERTScore_Precision,0.3146727980551088
mixtral22b_05,BERTScore_Precision,0.3036403137695555
qwen72b_05,BERTScore_Precision,0.29154574704158703
qwen72b_03,BERTScore_Precision,0.19343896887244325
gpt4o_03,BERTScore_Precision,0.1482798820767271
gpt4o_05,BERTScore_Precision,0.13528789685090392
gemma27b_07,BERTScore_Precision,0.11840984253345302
llama8b_05,BERTScore_Precision,0.11381571848021517
gemma27b_05,BERTScore_Precision,0.10934509238539769
llama405b_03,BERTScore_Precision,0.10868643660715571
llama405b_07,BERTScore_Precision,0.09859253680559728
llama405b_05,BERTScore_Precision,0.07113482405013448
llama8b_07,BERTScore_Precision,0.05296415776788369
mixtral22b_03,BERTScore_Precision,0.04842766609524202
mixtral7b_07,BERTScore_Precision,0.030627493688252346
gemma27b_03,BERTScore_Precision,0.027688242277847483
mixtral22b_07,BERTScore_Precision,0.023546944072150997
gemma9b_05,BERTScore_Precision,0.016219398539208903
sabia_05,BERTScore_Precision,0.001078548836871252
sabia_03,BERTScore_Precision,-0.008504892736549644
gpt4o_07,BERTScore_Precision,-0.04643523236606001
sabia_07,BERTScore_Precision,-0.055499982514115344
gemma9b_03,BERTScore_Precision,-0.09265640160419138
phi4_03,BERTScore_Precision,-0.09278073633856176
gemma9b_07,BERTScore_Precision,-0.11533062677017174
phi4_05,BERTScore_Precision,-0.1176936297260045
phi4_07,BERTScore_Precision,-0.13138643617394774
command_r_plus_08_2024_temp07,BERTScore_Precision,-0.13655580922401975
command_r_plus_05,BERTScore_Precision,-0.14122403205230982
phi3_07,BERTScore_Precision,-0.23400393161492156
phi3_05,BERTScore_Precision,-0.2381946290039862
llama8b_03,BERTScore_Precision,-0.25287441966155444
command_r_plus_03,BERTScore_Precision,-0.2704934617295276
qwen7b_07,BERTScore_Precision,-0.27393493817084197
phi3_03,BERTScore_Precision,-0.290862391671661
qwen7b_05,BERTScore_Precision,-0.46008752749648324
phi-4-temp05,BERTScore_Precision,-0.4616902584383194
phi-4-temp07,BERTScore_Precision,-0.4616902584383194
qwen7b_03,BERTScore_Precision,-0.5101782994317863
phi-4-temp03,BERTScore_Precision,-0.6155870112510925
mixtral7b_05,BERTScore_Recall,0.3430608620973384
mixtral22b_05,BERTScore_Recall,0.21238355569412837
